K_source,data_sha256,dataset_id,development_use_history,input_kind,label_key,labels_embedded,labels_path,labels_used_during_fit,labels_used_for_selection,n_clusters,n_features,n_samples,npz_sha256,panel,path,representation,source_group,source_h5ad,source_h5ad_sha256,source_reference,source_verification,sparsity,status,test_used_for_selection
benchmark_oracle_from_y,d1f30aa9700da83e903cc1d726e75be2623ac5c99efe476fcdf19eced589c27e,reuters,,general,,True,,,,3,4096,6576,,clubench,/data/luolie/ToPoGate/datasets/reuters.npz,CLUBench-provided,reuters,,,,pending,0.0005672853938564477,candidate,
benchmark_oracle_from_y,67bc38e177b997cda847b19c565ccb4bc52f10a6656ba03bd126e3bb2218e7c5,rice_dataset_cammeo_and_osmancik,,general,,True,,,,2,7,3810,,clubench,/data/luolie/ToPoGate/datasets/rice_dataset_cammeo_and_osmancik.npz,CLUBench-provided,rice_dataset_cammeo_and_osmancik,,,,pending,0.0,candidate,
benchmark_oracle_from_y,bda6ab1ea99e568bf76986c7136166d9423034c2c58a690a5a50945fd1e3e176,rice_seed_gonen_jasmine,,general,,True,,,,2,10,9999,,clubench,/data/luolie/ToPoGate/datasets/rice_seed_gonen_jasmine.npz,CLUBench-provided,rice_seed_gonen_jasmine,,,,pending,0.0,candidate,
benchmark_oracle_from_y,ca90d0492615e02ee1f24a057df8d8aa6a369171523e2d8954c6daaa31f17a38,rmftsa_sleepdata,,general,,True,,,,4,2,1024,,clubench,/data/luolie/ToPoGate/datasets/rmftsa_sleepdata.npz,CLUBench-provided,rmftsa_sleepdata,,,,pending,0.0,candidate,
benchmark_oracle_from_y,173f3f03a97f62105fe8539de98b08841da0e206032b83fa40eb21c1bf5b8cdd,satellite_image,,general,,True,,,,6,36,6435,,clubench,/data/luolie/ToPoGate/datasets/satellite_image.npz,CLUBench-provided,satellite_image,,,,pending,0.0,candidate,
benchmark_oracle_from_y,6e5388e9efa60a50961c8faa5bc2c448909c09cac124f43eb472c12864fd207a,secom,,general,,True,,,,2,590,1567,,clubench,/data/luolie/ToPoGate/datasets/secom.npz,CLUBench-provided,secom,,,,pending,0.2565184472110153,candidate,
benchmark_oracle_from_y,9c1375865055e07edb6daad3abc6896e1aba52f1473428297b1767991d5627a6,seeds,,general,,True,,,,3,7,210,,clubench,/data/luolie/ToPoGate/datasets/seeds.npz,CLUBench-provided,seeds,,,,pending,0.0,candidate,
benchmark_oracle_from_y,af892def384c597fb4ab361a7738c5757d152f3d5fa4a9ccc2785cdd6c93d97a,seismic_bumps,,general,,True,,,,2,24,646,,clubench,/data/luolie/ToPoGate/datasets/seismic_bumps.npz,CLUBench-provided,seismic_bumps,,,,pending,0.582688338493292,candidate,
benchmark_oracle_from_y,8f5363cdbad8dcd77cbcac71306c1ddcfbd71d386d37a096b4d765c316845051,sentiment_labeld_sentences,,general,,True,,,,2,200,2748,,clubench,/data/luolie/ToPoGate/datasets/sentiment_labeld_sentences.npz,CLUBench-provided,sentiment_labeld_sentences,,,,pending,0.98877365356623,candidate,
benchmark_oracle_from_y,2a453368c3298e679273e61a909209116fed1860b18075e595c5c77c55a8fb7b,shuttle,,general,,True,,,,2,9,10000,,clubench,/data/luolie/ToPoGate/datasets/shuttle.npz,CLUBench-provided,shuttle,,,,pending,0.2204111111111111,candidate,
benchmark_oracle_from_y,4614473a793412163c14e08e8edf6ca6f6454882989eeef39c30bb4112f9c63c,siberian_weather_stats,,general,,True,,,,7,11,1407,,clubench,/data/luolie/ToPoGate/datasets/siberian_weather_stats.npz,CLUBench-provided,siberian_weather_stats,,,,pending,0.09233055501712219,candidate,
benchmark_oracle_from_y,7b631b837dc2d2c3897048b738760758ee264fa265d39f8d64b5342ed1d0c4e6,skillcraft1_master_table_dataset,,general,,True,,,,6,18,3303,,clubench,/data/luolie/ToPoGate/datasets/skillcraft1_master_table_dataset.npz,CLUBench-provided,skillcraft1_master_table_dataset,,,,pending,0.0820466242809567,candidate,
benchmark_oracle_from_y,72059a5b8a91cb4e79a8104e37e3e8a72c9c59f033d55316f4d6ca4a3d953015,smoker_condition,,general,,True,,,,2,7,1012,,clubench,/data/luolie/ToPoGate/datasets/smoker_condition.npz,CLUBench-provided,smoker_condition,,,,pending,0.14285714285714285,candidate,
benchmark_oracle_from_y,1d9c068c43dc4f58e759169906dae9dff0ac6a8def7315ce7e4989a3b28d7070,sms_spam_collection,,general,,True,,,,2,500,835,,clubench,/data/luolie/ToPoGate/datasets/sms_spam_collection.npz,CLUBench-provided,sms_spam_collection,,,,pending,0.9913532934131737,candidate,
benchmark_oracle_from_y,28ecfe66283f4220b62aa7a5afeb3c5e17d04eb9b5f17c99c2fb3cfcbe371bbc,spambase,,general,,True,,,,2,57,4601,,clubench,/data/luolie/ToPoGate/datasets/spambase.npz,CLUBench-provided,spambase,,,,pending,0.7741490217610969,candidate,
benchmark_oracle_from_y,8fa734ef46443d2fb8728d2cd316cc40997063bc56abe05edab1ed722ea36db1,spectf_heart,,general,,True,,,,2,44,80,,clubench,/data/luolie/ToPoGate/datasets/spectf_heart.npz,CLUBench-provided,spectf_heart,,,,pending,0.0,candidate,
benchmark_oracle_from_y,6ce6830eb434bc2e7a19f4a7d4d26ec637a4b3991708148c6ea3cd5479c49e1e,statlog_german_credit,,general,,True,,,,2,24,1000,,clubench,/data/luolie/ToPoGate/datasets/statlog_german_credit.npz,CLUBench-provided,statlog_german_credit,,,,pending,0.25045833333333334,candidate,
benchmark_oracle_from_y,91e660327f9bf4d975b85f2f6976112be7f6f6a8e9d4b3da73dd802e9373e110,statlog_image_segmentation,,general,,True,,,,7,19,2310,,clubench,/data/luolie/ToPoGate/datasets/statlog_image_segmentation.npz,CLUBench-provided,statlog_image_segmentation,,,,pending,0.11576668945089998,candidate,
benchmark_oracle_from_y,db99b1a19d8b255925957763845f147ec66d2fff22e3c13dde8f01becd51a8f3,steel-plates-fault,,general,,True,,,,2,33,1941,,clubench,/data/luolie/ToPoGate/datasets/steel-plates-fault.npz,CLUBench-provided,steel-plates-fault,,,,pending,0.20721902174761525,candidate,
benchmark_oracle_from_y,ae9bc60050c7acdaeb5679edda33939f3b13dbe3686fe6430eae83b6bcef0b4b,street_view_house_numbers,,general,,True,,,,10,1024,732,,clubench,/data/luolie/ToPoGate/datasets/street_view_house_numbers.npz,CLUBench-provided,street_view_house_numbers,,,,pending,0.0015075350068306011,candidate,
benchmark_oracle_from_y,e2c9a3acc90310063588b92ad3ae4fb221cfe1392ed32773054bca04900fbd45,student_grade,,general,,True,,,,2,29,395,,clubench,/data/luolie/ToPoGate/datasets/student_grade.npz,CLUBench-provided,student_grade,,,,pending,0.2148406809253601,candidate,
benchmark_oracle_from_y,91b516372b9816404f4e3cbf26ac50f0620f18c314c2ca3d65bd5dbafda470b9,synthetic_control,,general,,True,,,,6,60,600,,clubench,/data/luolie/ToPoGate/datasets/synthetic_control.npz,CLUBench-provided,synthetic_control,,,,pending,0.0,candidate,
benchmark_oracle_from_y,090a28981e760cc3c04d8410e767e9461d2fa2ba837157d0db03a205f756f567,tamilnadu-electricity,,general,,True,,,,20,2,10000,,clubench,/data/luolie/ToPoGate/datasets/tamilnadu-electricity.npz,CLUBench-provided,tamilnadu-electricity,,,,pending,0.0,candidate,
benchmark_oracle_from_y,7781fae2d4cea9f63aac18285a1b54e9097d4f4254c9c0e2ebafb60b6d13973c,tr45.wc,,general,,True,,,,9,8261,676,,clubench,/data/luolie/ToPoGate/datasets/tr45.wc.npz,CLUBench-provided,tr45.wc,,,,pending,0.9658857223898707,candidate,
benchmark_oracle_from_y,a5bdf1cc255babc19277e10f7abb2907cb8e3aea5fb1870438723dcfd1a7d714,turkish_music_emotion,,general,,True,,,,4,50,400,,clubench,/data/luolie/ToPoGate/datasets/turkish_music_emotion.npz,CLUBench-provided,turkish_music_emotion,,,,pending,0.01965,candidate,
benchmark_oracle_from_y,1d14976bba930fe9f1cbaab97f3ee497b847d606f0d3b2247eaa0f0bf5f48737,user_knowledge_modeling,,general,,True,,,,4,5,258,,clubench,/data/luolie/ToPoGate/datasets/user_knowledge_modeling.npz,CLUBench-provided,user_knowledge_modeling,,,,pending,0.006201550387596899,candidate,
benchmark_oracle_from_y,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,vehicle,,general,,True,,,,4,18,846,,clubench,/data/luolie/ToPoGate/datasets/vehicle.npz,CLUBench-provided,vehicle,,,,pending,0.0070265300761754666,candidate,
benchmark_oracle_from_y,07e5cb2d298c7bc582016afc7d6693fae9c7ac3f051fe5a81b8f2db6a0eb5900,wall-robot-navigation,,general,,True,,,,4,24,5456,,clubench,/data/luolie/ToPoGate/datasets/wall-robot-navigation.npz,CLUBench-provided,wall-robot-navigation,,,,pending,0.0,candidate,
benchmark_oracle_from_y,2f0495718a18a5a589d6706932bb17693cf76a738760dabd0b491a9dbd2ff1dc,water_quality,,general,,True,,,,2,9,2011,,clubench,/data/luolie/ToPoGate/datasets/water_quality.npz,CLUBench-provided,water_quality,,,,pending,0.0,candidate,
benchmark_oracle_from_y,2d67472ed4d551afa339acf8f2407bc7b82eb62e89444f6f772dc1fcfb998dc0,Waveform,,general,,True,,,,3,21,5000,,clubench,/data/luolie/ToPoGate/datasets/Waveform.npz,CLUBench-provided,Waveform,,,,pending,0.0016380952380952382,candidate,
benchmark_oracle_from_y,0cbec6e78a038f320c99b15181ab0565ec124167dfcacc4ce350d1ecf6dad366,weather,,general,,True,,,,7,192,365,,clubench,/data/luolie/ToPoGate/datasets/weather.npz,CLUBench-provided,weather,,,,pending,0.003339041095890411,candidate,
benchmark_oracle_from_y,fc9f5a9662411b6422750dde291b73177bbfac7c08f5ce1e2b7f74e0d859f92e,website_phishing,,general,,True,,,,3,9,1353,,clubench,/data/luolie/ToPoGate/datasets/website_phishing.npz,CLUBench-provided,website_phishing,,,,pending,0.3199474418986614,candidate,
benchmark_oracle_from_y,a594c68a514ba87162d48f25a27fc61c1f11301d50222770836c5796769f77a5,wine,,general,,True,,,,3,13,178,,clubench,/data/luolie/ToPoGate/datasets/wine.npz,CLUBench-provided,wine,,,,pending,0.0,candidate,
benchmark_oracle_from_y,4f43b9af224dc61c8bd022d29cfc9af0aef18babe9b15deefce0d4a5846eab3a,wine_customer,,general,,True,,,,3,13,178,,clubench,/data/luolie/ToPoGate/datasets/wine_customer.npz,CLUBench-provided,wine_customer,,,,pending,0.0,candidate,
benchmark_oracle_from_y,30550b65fd082c8b499a2082cf83c0d7045b3af8a2cc358de948ef78c63e045f,wine_quality,,general,,True,,,,5,11,4873,,clubench,/data/luolie/ToPoGate/datasets/wine_quality.npz,CLUBench-provided,wine_quality,,,,pending,0.00035445777288584595,candidate,
benchmark_oracle_from_y,44b04751c1f3f6dd7010530029bf3edeaf8b9980e3bd256b6663e882226a8a82,wireless_indoor_localization,,general,,True,,,,4,7,2000,,clubench,/data/luolie/ToPoGate/datasets/wireless_indoor_localization.npz,CLUBench-provided,wireless_indoor_localization,,,,pending,0.0,candidate,
benchmark_oracle_from_y,a373aae836adc5d864eb9dcca93a96fa811ef6d9067b1da2bc6a70f8f3cfeaae,world12d,,general,,True,,,,5,12,150,,clubench,/data/luolie/ToPoGate/datasets/world12d.npz,CLUBench-provided,world12d,,,,pending,0.012777777777777779,candidate,
benchmark_oracle_from_y,1064adcc7593a0cb419f575ac1ec0d1135cf641668706a6b94cd05525599e4ef,wos,,general,,True,,,,7,4096,9997,,clubench,/data/luolie/ToPoGate/datasets/wos.npz,CLUBench-provided,wos,,,,pending,0.0005520943392392718,candidate,
benchmark_oracle_from_y,76fe9a68337702474294d60f757f712aea91fba3924c1a967faf9cec2dd5e955,yeast,,general,,True,,,,8,8,1459,,clubench,/data/luolie/ToPoGate/datasets/yeast.npz,CLUBench-provided,yeast,,,,pending,0.125,candidate,
benchmark_oracle_from_y,fa8510d935fe4814620954faa6fd683deee27eee831f090e4d23fb33ab323d4e,zoo,,general,,True,,,,7,16,101,,clubench,/data/luolie/ToPoGate/datasets/zoo.npz,CLUBench-provided,zoo,,,,pending,0.5433168316831684,candidate,
,,Blood_BoneMarrow,scVICAR,raw_count,cell_type,,,False,True,30,61497,15486,9db0f5131179b6c8daea5ff2c9deeffe0ae8b91722f1e13c87c9a775d2130f91,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/Blood_BoneMarrow.npz,scVICAR_confirmatory_v1_H5AD_X,Blood_BoneMarrow,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/Blood_BoneMarrow.h5ad,3f51f1d3728539b74f6b01a48f0dfcde63247bcf91808b2f4079efff73bc0c77,,,,,False
,,Human_Pancreas_1,scVICAR,raw_count,cell_type,,,False,True,6,61497,2282,0156a570ed5363be8142ae261ca623c7a04a1644f4ff5d88e5b4ac85a4e8eea0,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/Human_Pancreas_1.npz,scVICAR_confirmatory_v1_H5AD_X,Human_Pancreas_1,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/Human_Pancreas_1.h5ad,115836148077a97c783016b66fd775d980c3d44a0c95c14c2c9656c329f5fde2,,,,,False
,,Human_Pancreas_3,scVICAR,raw_count,cell_type,,,False,True,13,20125,8562,d044d6af4ff149dec88035b5066a48391be913b1bc6a68aac39852e38a1bd337,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/Human_Pancreas_3.npz,scVICAR_confirmatory_v1_H5AD_X,Human_Pancreas_3,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/Human_Pancreas_3.h5ad,3449593a0feb60337872627907d35add3a477326a3bc46eaba8619280f648a13,,,,,False
,,Mouse_Pancreas_1,scVICAR,raw_count,cell_type,,,False,True,10,14878,1865,06c23d005e8953b1b2ac918a14f04d335a9ea56de4152886ff71afa21e9078cd,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/Mouse_Pancreas_1.npz,scVICAR_confirmatory_v1_H5AD_X,Mouse_Pancreas_1,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/Mouse_Pancreas_1.h5ad,178a8c89ee1dae1adf0564dc3fa019ebec1f3a3a2ef7516a7ad15b571ac7ad1a,,,,,False
,,PRJNA895163,scVICAR,raw_count,resolved_label,,,False,True,12,25415,50380,67fd2ba0b47bdc1a4154061cced78ffbe45bddde27386a81d2bf3aef06590fdc,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/PRJNA895163.npz,scVICAR_confirmatory_v1_H5AD_X,PRJNA895163,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/PRJNA895163.h5ad,4720016d69f5c5ee0cb27973061a2c537c6b35b23767019aeb416f34dd66f2c3,,,,,False
,,TabulaSapiens_Pancreas,scVICAR,raw_count,cell_type,,,False,True,16,61497,14116,459e90b0814a7a774df77b2b5b37cc5eb18a008570f35b8ce27245a6cc591f17,clubench,/data/luolie/ToPoGate/result/topogate_unified_biology_20260910/data/TabulaSapiens_Pancreas.npz,scVICAR_confirmatory_v1_H5AD_X,TabulaSapiens_Pancreas,/data/luolie/biopipeline/dimension-reduction/plantnet/result/scvicar_attribution_v2/datasets/TabulaSapiens_Pancreas.h5ad,a73015faf0a985e12131515e8b6462e83b5c88e4561b109179d3e03947a925ef,,,,,False
,,Bach,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Bach.h5,,,,,,,,,
,,Baron,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Baron.h5,,,,,,,,,
,,Guo,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Guo.h5,,,,,,,,,
,,Limb_Muscle,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Limb_Muscle.h5,,,,,,,,,
,,Macosko,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Macosko.h5,,,,,,,,,
,,Melanoma_5K,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Melanoma_5K.h5,,,,,,,,,
,,Pollen,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Pollen.h5,,,,,,,,,
,,Quake_10x_Spleen,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Quake_10x_Spleen.h5,,,,,,,,,
,,Quake_Smart-seq2_Lung,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Quake_Smart-seq2_Lung.h5,,,,,,,,,
,,Shekhar,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Shekhar.h5,,,,,,,,,
,,Tosches,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Tosches.h5,,,,,,,,,
,,Wang,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Wang.h5,,,,,,,,,
,,Young,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/Young.h5,,,,,,,,,
,,hrvatin,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/hrvatin.h5,,,,,,,,,
,,worm_neuron_cell,,,,,,,,,,,,biology,/data/luolie/biopipeline/scCluBench/data/scMAE/worm_neuron_cell.h5,,,,,,,,,
