model,dataset,seed,source,accepted,protocol,historical_source_path,reason
PCA+KMeans,magic_gamma_telescope,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,magic_gamma_telescope,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,magic_gamma_telescope,7,new_run,yes,transductive,,accepted target seed record
KMeans,mammographic_mass,42,new_run,yes,transductive,,accepted target seed record
KMeans,mammographic_mass,123,new_run,yes,transductive,,accepted target seed record
KMeans,mammographic_mass,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mammographic_mass,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mammographic_mass,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mammographic_mass,7,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-factors,42,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-factors,123,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-factors,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-factors,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-factors,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-factors,7,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-fourier,42,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-fourier,123,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-fourier,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-fourier,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-fourier,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-fourier,7,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-karhunen,42,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-karhunen,123,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-karhunen,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-karhunen,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-karhunen,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-karhunen,7,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-morphological,42,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-morphological,123,new_run,yes,transductive,,accepted target seed record
KMeans,mfeat-morphological,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-morphological,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-morphological,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mfeat-morphological,7,new_run,yes,transductive,,accepted target seed record
KMeans,micro-mass,42,new_run,yes,transductive,,accepted target seed record
KMeans,micro-mass,123,new_run,yes,transductive,,accepted target seed record
KMeans,micro-mass,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,micro-mass,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,micro-mass,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,micro-mass,7,new_run,yes,transductive,,accepted target seed record
KMeans,microbes,42,new_run,yes,transductive,,accepted target seed record
KMeans,microbes,123,new_run,yes,transductive,,accepted target seed record
KMeans,microbes,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,microbes,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,microbes,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,microbes,7,new_run,yes,transductive,,accepted target seed record
KMeans,mnist64,42,new_run,yes,transductive,,accepted target seed record
KMeans,mnist64,123,new_run,yes,transductive,,accepted target seed record
KMeans,mnist64,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mnist64,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mnist64,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mnist64,7,new_run,yes,transductive,,accepted target seed record
KMeans,MNIST_CLIP,42,new_run,yes,transductive,,accepted target seed record
KMeans,MNIST_CLIP,123,new_run,yes,transductive,,accepted target seed record
KMeans,MNIST_CLIP,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,MNIST_CLIP,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,MNIST_CLIP,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,MNIST_CLIP,7,new_run,yes,transductive,,accepted target seed record
KMeans,mobile_price_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,mobile_price_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,mobile_price_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mobile_price_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mobile_price_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,mobile_price_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,Mouse_retina,42,new_run,yes,transductive,,accepted target seed record
KMeans,Mouse_retina,123,new_run,yes,transductive,,accepted target seed record
KMeans,Mouse_retina,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Mouse_retina,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Mouse_retina,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Mouse_retina,7,new_run,yes,transductive,,accepted target seed record
KMeans,music_genre_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,music_genre_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,music_genre_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,music_genre_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,music_genre_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,music_genre_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,olivetti_faces,42,new_run,yes,transductive,,accepted target seed record
KMeans,olivetti_faces,123,new_run,yes,transductive,,accepted target seed record
KMeans,olivetti_faces,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,olivetti_faces,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,olivetti_faces,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,olivetti_faces,7,new_run,yes,transductive,,accepted target seed record
KMeans,optical_recognition_of_handwritten_digits,42,new_run,yes,transductive,,accepted target seed record
KMeans,optical_recognition_of_handwritten_digits,123,new_run,yes,transductive,,accepted target seed record
KMeans,optical_recognition_of_handwritten_digits,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,optical_recognition_of_handwritten_digits,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,optical_recognition_of_handwritten_digits,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,optical_recognition_of_handwritten_digits,7,new_run,yes,transductive,,accepted target seed record
KMeans,orbit_classification_for_prediction_nasa,42,new_run,yes,transductive,,accepted target seed record
KMeans,orbit_classification_for_prediction_nasa,123,new_run,yes,transductive,,accepted target seed record
KMeans,orbit_classification_for_prediction_nasa,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,orbit_classification_for_prediction_nasa,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,orbit_classification_for_prediction_nasa,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,orbit_classification_for_prediction_nasa,7,new_run,yes,transductive,,accepted target seed record
KMeans,paris_housing_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,paris_housing_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,paris_housing_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,paris_housing_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,paris_housing_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,paris_housing_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,parkinsons,42,new_run,yes,transductive,,accepted target seed record
KMeans,parkinsons,123,new_run,yes,transductive,,accepted target seed record
KMeans,parkinsons,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,parkinsons,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,parkinsons,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,parkinsons,7,new_run,yes,transductive,,accepted target seed record
KMeans,patient_treatment_classification,42,new_run,yes,transductive,,accepted target seed record
KMeans,patient_treatment_classification,123,new_run,yes,transductive,,accepted target seed record
KMeans,patient_treatment_classification,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,patient_treatment_classification,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,patient_treatment_classification,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,patient_treatment_classification,7,new_run,yes,transductive,,accepted target seed record
KMeans,PCam,42,new_run,yes,transductive,,accepted target seed record
KMeans,PCam,123,new_run,yes,transductive,,accepted target seed record
KMeans,PCam,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,PCam,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,PCam,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,PCam,7,new_run,yes,transductive,,accepted target seed record
KMeans,pen_based_recognition_of_handwritten_digits,42,new_run,yes,transductive,,accepted target seed record
KMeans,pen_based_recognition_of_handwritten_digits,123,new_run,yes,transductive,,accepted target seed record
KMeans,pen_based_recognition_of_handwritten_digits,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pen_based_recognition_of_handwritten_digits,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pen_based_recognition_of_handwritten_digits,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pen_based_recognition_of_handwritten_digits,7,new_run,yes,transductive,,accepted target seed record
KMeans,ph_recognition,42,new_run,yes,transductive,,accepted target seed record
KMeans,ph_recognition,123,new_run,yes,transductive,,accepted target seed record
KMeans,ph_recognition,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ph_recognition,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ph_recognition,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,ph_recognition,7,new_run,yes,transductive,,accepted target seed record
KMeans,pima_indians_diabetes_database,42,new_run,yes,transductive,,accepted target seed record
KMeans,pima_indians_diabetes_database,123,new_run,yes,transductive,,accepted target seed record
KMeans,pima_indians_diabetes_database,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pima_indians_diabetes_database,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pima_indians_diabetes_database,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pima_indians_diabetes_database,7,new_run,yes,transductive,,accepted target seed record
KMeans,pistachio,42,new_run,yes,transductive,,accepted target seed record
KMeans,pistachio,123,new_run,yes,transductive,,accepted target seed record
KMeans,pistachio,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pistachio,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pistachio,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pistachio,7,new_run,yes,transductive,,accepted target seed record
KMeans,planning_relax,42,new_run,yes,transductive,,accepted target seed record
KMeans,planning_relax,123,new_run,yes,transductive,,accepted target seed record
KMeans,planning_relax,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,planning_relax,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,planning_relax,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,planning_relax,7,new_run,yes,transductive,,accepted target seed record
KMeans,poker-hand,42,new_run,yes,transductive,,accepted target seed record
KMeans,poker-hand,123,new_run,yes,transductive,,accepted target seed record
KMeans,poker-hand,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,poker-hand,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,poker-hand,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,poker-hand,7,new_run,yes,transductive,,accepted target seed record
KMeans,predicting_pulsar_star,42,new_run,yes,transductive,,accepted target seed record
KMeans,predicting_pulsar_star,123,new_run,yes,transductive,,accepted target seed record
KMeans,predicting_pulsar_star,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,predicting_pulsar_star,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,predicting_pulsar_star,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,predicting_pulsar_star,7,new_run,yes,transductive,,accepted target seed record
KMeans,pumpkin_seeds,42,new_run,yes,transductive,,accepted target seed record
KMeans,pumpkin_seeds,123,new_run,yes,transductive,,accepted target seed record
KMeans,pumpkin_seeds,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pumpkin_seeds,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pumpkin_seeds,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,pumpkin_seeds,7,new_run,yes,transductive,,accepted target seed record
KMeans,raisin,42,new_run,yes,transductive,,accepted target seed record
KMeans,raisin,123,new_run,yes,transductive,,accepted target seed record
KMeans,raisin,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,raisin,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,raisin,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,raisin,7,new_run,yes,transductive,,accepted target seed record
KMeans,reuters,42,new_run,yes,transductive,,accepted target seed record
KMeans,reuters,123,new_run,yes,transductive,,accepted target seed record
KMeans,reuters,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,reuters,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,reuters,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,reuters,7,new_run,yes,transductive,,accepted target seed record
KMeans,rice_dataset_cammeo_and_osmancik,42,new_run,yes,transductive,,accepted target seed record
KMeans,rice_dataset_cammeo_and_osmancik,123,new_run,yes,transductive,,accepted target seed record
KMeans,rice_dataset_cammeo_and_osmancik,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_dataset_cammeo_and_osmancik,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_dataset_cammeo_and_osmancik,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_dataset_cammeo_and_osmancik,7,new_run,yes,transductive,,accepted target seed record
KMeans,rice_seed_gonen_jasmine,42,new_run,yes,transductive,,accepted target seed record
KMeans,rice_seed_gonen_jasmine,123,new_run,yes,transductive,,accepted target seed record
KMeans,rice_seed_gonen_jasmine,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_seed_gonen_jasmine,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_seed_gonen_jasmine,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rice_seed_gonen_jasmine,7,new_run,yes,transductive,,accepted target seed record
KMeans,rmftsa_sleepdata,42,new_run,yes,transductive,,accepted target seed record
KMeans,rmftsa_sleepdata,123,new_run,yes,transductive,,accepted target seed record
KMeans,rmftsa_sleepdata,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rmftsa_sleepdata,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rmftsa_sleepdata,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,rmftsa_sleepdata,7,new_run,yes,transductive,,accepted target seed record
KMeans,satellite_image,42,new_run,yes,transductive,,accepted target seed record
KMeans,satellite_image,123,new_run,yes,transductive,,accepted target seed record
KMeans,satellite_image,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,satellite_image,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,satellite_image,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,satellite_image,7,new_run,yes,transductive,,accepted target seed record
KMeans,secom,42,new_run,yes,transductive,,accepted target seed record
KMeans,secom,123,new_run,yes,transductive,,accepted target seed record
KMeans,secom,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,secom,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,secom,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,secom,7,new_run,yes,transductive,,accepted target seed record
KMeans,seeds,42,new_run,yes,transductive,,accepted target seed record
KMeans,seeds,123,new_run,yes,transductive,,accepted target seed record
KMeans,seeds,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seeds,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seeds,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seeds,7,new_run,yes,transductive,,accepted target seed record
KMeans,seismic_bumps,42,new_run,yes,transductive,,accepted target seed record
KMeans,seismic_bumps,123,new_run,yes,transductive,,accepted target seed record
KMeans,seismic_bumps,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seismic_bumps,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seismic_bumps,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,seismic_bumps,7,new_run,yes,transductive,,accepted target seed record
KMeans,sentiment_labeld_sentences,42,new_run,yes,transductive,,accepted target seed record
KMeans,sentiment_labeld_sentences,123,new_run,yes,transductive,,accepted target seed record
KMeans,sentiment_labeld_sentences,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sentiment_labeld_sentences,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sentiment_labeld_sentences,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sentiment_labeld_sentences,7,new_run,yes,transductive,,accepted target seed record
KMeans,shuttle,42,new_run,yes,transductive,,accepted target seed record
KMeans,shuttle,123,new_run,yes,transductive,,accepted target seed record
KMeans,shuttle,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,shuttle,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,shuttle,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,shuttle,7,new_run,yes,transductive,,accepted target seed record
KMeans,siberian_weather_stats,42,new_run,yes,transductive,,accepted target seed record
KMeans,siberian_weather_stats,123,new_run,yes,transductive,,accepted target seed record
KMeans,siberian_weather_stats,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,siberian_weather_stats,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,siberian_weather_stats,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,siberian_weather_stats,7,new_run,yes,transductive,,accepted target seed record
KMeans,skillcraft1_master_table_dataset,42,new_run,yes,transductive,,accepted target seed record
KMeans,skillcraft1_master_table_dataset,123,new_run,yes,transductive,,accepted target seed record
KMeans,skillcraft1_master_table_dataset,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,skillcraft1_master_table_dataset,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,skillcraft1_master_table_dataset,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,skillcraft1_master_table_dataset,7,new_run,yes,transductive,,accepted target seed record
KMeans,smoker_condition,42,new_run,yes,transductive,,accepted target seed record
KMeans,smoker_condition,123,new_run,yes,transductive,,accepted target seed record
KMeans,smoker_condition,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,smoker_condition,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,smoker_condition,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,smoker_condition,7,new_run,yes,transductive,,accepted target seed record
KMeans,sms_spam_collection,42,new_run,yes,transductive,,accepted target seed record
KMeans,sms_spam_collection,123,new_run,yes,transductive,,accepted target seed record
KMeans,sms_spam_collection,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sms_spam_collection,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sms_spam_collection,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,sms_spam_collection,7,new_run,yes,transductive,,accepted target seed record
KMeans,spambase,42,new_run,yes,transductive,,accepted target seed record
KMeans,spambase,123,new_run,yes,transductive,,accepted target seed record
KMeans,spambase,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spambase,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spambase,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spambase,7,new_run,yes,transductive,,accepted target seed record
KMeans,spectf_heart,42,new_run,yes,transductive,,accepted target seed record
KMeans,spectf_heart,123,new_run,yes,transductive,,accepted target seed record
KMeans,spectf_heart,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spectf_heart,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spectf_heart,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,spectf_heart,7,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_german_credit,42,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_german_credit,123,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_german_credit,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_german_credit,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_german_credit,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_german_credit,7,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_image_segmentation,42,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_image_segmentation,123,new_run,yes,transductive,,accepted target seed record
KMeans,statlog_image_segmentation,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_image_segmentation,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_image_segmentation,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,statlog_image_segmentation,7,new_run,yes,transductive,,accepted target seed record
KMeans,steel-plates-fault,42,new_run,yes,transductive,,accepted target seed record
KMeans,steel-plates-fault,123,new_run,yes,transductive,,accepted target seed record
KMeans,steel-plates-fault,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,steel-plates-fault,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,steel-plates-fault,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,steel-plates-fault,7,new_run,yes,transductive,,accepted target seed record
KMeans,street_view_house_numbers,42,new_run,yes,transductive,,accepted target seed record
KMeans,street_view_house_numbers,123,new_run,yes,transductive,,accepted target seed record
KMeans,street_view_house_numbers,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,street_view_house_numbers,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,street_view_house_numbers,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,street_view_house_numbers,7,new_run,yes,transductive,,accepted target seed record
KMeans,student_grade,42,new_run,yes,transductive,,accepted target seed record
KMeans,student_grade,123,new_run,yes,transductive,,accepted target seed record
KMeans,student_grade,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,student_grade,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,student_grade,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,student_grade,7,new_run,yes,transductive,,accepted target seed record
KMeans,synthetic_control,42,new_run,yes,transductive,,accepted target seed record
KMeans,synthetic_control,123,new_run,yes,transductive,,accepted target seed record
KMeans,synthetic_control,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,synthetic_control,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,synthetic_control,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,synthetic_control,7,new_run,yes,transductive,,accepted target seed record
KMeans,tamilnadu-electricity,42,new_run,yes,transductive,,accepted target seed record
KMeans,tamilnadu-electricity,123,new_run,yes,transductive,,accepted target seed record
KMeans,tamilnadu-electricity,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tamilnadu-electricity,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tamilnadu-electricity,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tamilnadu-electricity,7,new_run,yes,transductive,,accepted target seed record
KMeans,tr45.wc,42,new_run,yes,transductive,,accepted target seed record
KMeans,tr45.wc,123,new_run,yes,transductive,,accepted target seed record
KMeans,tr45.wc,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tr45.wc,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tr45.wc,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,tr45.wc,7,new_run,yes,transductive,,accepted target seed record
KMeans,turkish_music_emotion,42,new_run,yes,transductive,,accepted target seed record
KMeans,turkish_music_emotion,123,new_run,yes,transductive,,accepted target seed record
KMeans,turkish_music_emotion,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,turkish_music_emotion,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,turkish_music_emotion,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,turkish_music_emotion,7,new_run,yes,transductive,,accepted target seed record
KMeans,user_knowledge_modeling,42,new_run,yes,transductive,,accepted target seed record
KMeans,user_knowledge_modeling,123,new_run,yes,transductive,,accepted target seed record
KMeans,user_knowledge_modeling,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,user_knowledge_modeling,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,user_knowledge_modeling,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,user_knowledge_modeling,7,new_run,yes,transductive,,accepted target seed record
KMeans,vehicle,42,new_run,yes,transductive,,accepted target seed record
KMeans,vehicle,123,new_run,yes,transductive,,accepted target seed record
KMeans,vehicle,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,vehicle,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,vehicle,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,vehicle,7,new_run,yes,transductive,,accepted target seed record
KMeans,wall-robot-navigation,42,new_run,yes,transductive,,accepted target seed record
KMeans,wall-robot-navigation,123,new_run,yes,transductive,,accepted target seed record
KMeans,wall-robot-navigation,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wall-robot-navigation,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wall-robot-navigation,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wall-robot-navigation,7,new_run,yes,transductive,,accepted target seed record
KMeans,water_quality,42,new_run,yes,transductive,,accepted target seed record
KMeans,water_quality,123,new_run,yes,transductive,,accepted target seed record
KMeans,water_quality,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,water_quality,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,water_quality,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,water_quality,7,new_run,yes,transductive,,accepted target seed record
KMeans,Waveform,42,new_run,yes,transductive,,accepted target seed record
KMeans,Waveform,123,new_run,yes,transductive,,accepted target seed record
KMeans,Waveform,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Waveform,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Waveform,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Waveform,7,new_run,yes,transductive,,accepted target seed record
KMeans,weather,42,new_run,yes,transductive,,accepted target seed record
KMeans,weather,123,new_run,yes,transductive,,accepted target seed record
KMeans,weather,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,weather,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,weather,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,weather,7,new_run,yes,transductive,,accepted target seed record
KMeans,website_phishing,42,new_run,yes,transductive,,accepted target seed record
KMeans,website_phishing,123,new_run,yes,transductive,,accepted target seed record
KMeans,website_phishing,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,website_phishing,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,website_phishing,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,website_phishing,7,new_run,yes,transductive,,accepted target seed record
KMeans,wine,42,new_run,yes,transductive,,accepted target seed record
KMeans,wine,123,new_run,yes,transductive,,accepted target seed record
KMeans,wine,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wine,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wine,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wine,7,new_run,yes,transductive,,accepted target seed record
KMeans,wine_customer,42,new_run,yes,transductive,,accepted target seed record
KMeans,wine_customer,123,new_run,yes,transductive,,accepted target seed record
KMeans,wine_customer,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,wine_customer,42,new_run,yes,transductive,,accepted target seed record
